"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.792341316E2,1.759247589E1,1.880366135E1,-4.577661133E1
1.792441416E2,1.814940643E1,1.895608139E1,-4.576977539E1
1.792541206E2,1.814940643E1,1.895608139E1,-4.576977539E1
1.792641306E2,1.790424347E1,1.877885818E1,-4.555609131E1
1.792741396E2,1.790424347E1,1.877885818E1,-4.555609131E1
1.792841196E2,1.774806976E1,1.879402542E1,-4.553741455E1
1.792941286E2,1.774806976E1,1.879402542E1,-4.553741455E1
1.793041086E2,1.827187347E1,1.901873398E1,-4.584649658E1
1.793141176E2,1.827187347E1,1.901873398E1,-4.584649658E1
1.793241276E2,1.777382660E1,1.890736008E1,-4.578692627E1
1.793341066E2,1.777382660E1,1.890736008E1,-4.578692627E1
1.793441166E2,1.775620270E1,1.865723801E1,-4.551605225E1
1.793541266E2,1.775620270E1,1.865723801E1,-4.551605225E1
1.793641056E2,1.795232391E1,1.876678848E1,-4.560852051E1
1.793741156E2,1.795232391E1,1.876678848E1,-4.560852051E1
1.793840946E2,1.754384613E1,1.892235184E1,-4.566986084E1
1.793941046E2,1.754384613E1,1.892235184E1,-4.566986084E1
1.794041146E2,1.779375458E1,1.885592270E1,-4.557208252E1
1.794140936E2,1.779375458E1,1.885592270E1,-4.557208252E1
1.794241036E2,1.762851715E1,1.900271225E1,-4.559051514E1
1.794341136E2,1.762851715E1,1.900271225E1,-4.559051514E1
1.794440926E2,1.785022736E1,1.872008896E1,-4.561535645E1
1.794541026E2,1.785022736E1,1.872008896E1,-4.561535645E1
1.794641116E2,1.779308319E1,1.893350601E1,-4.560430908E1
1.794740916E2,1.779308319E1,1.893350601E1,-4.560430908E1
1.794841006E2,1.793555450E1,1.895918655E1,-4.570806885E1
1.794940806E2,1.793555450E1,1.895918655E1,-4.570806885E1
1.795040896E2,1.776291656E1,1.898189926E1,-4.574060059E1
1.795140996E2,1.776291656E1,1.898189926E1,-4.574060059E1
1.795240786E2,1.778467560E1,1.883460617E1,-4.557678223E1
1.795340886E2,1.778467560E1,1.883460617E1,-4.557678223E1
1.795440986E2,1.785767365E1,1.892476273E1,-4.561730957E1
1.795540776E2,1.785767365E1,1.892476273E1,-4.561730957E1
1.795640876E2,1.787288666E1,1.878502274E1,-4.555944824E1
1.795740666E2,1.787288666E1,1.878502274E1,-4.555944824E1
1.795840498E2,1.781206512E1,1.900490952E1,-4.568041992E1
1.795940598E2,1.781206512E1,1.900490952E1,-4.568041992E1
1.796040388E2,1.787006378E1,1.886185837E1,-4.546795654E1
1.796140488E2,1.787006378E1,1.886185837E1,-4.546795654E1
1.796240578E2,1.818801117E1,1.879920578E1,-4.557427979E1
1.796340378E2,1.818801117E1,1.879920578E1,-4.557427979E1
1.796440478E2,1.782187653E1,1.894642258E1,-4.573620605E1
1.796540568E2,1.782187653E1,1.894642258E1,-4.573620605E1
1.796640368E2,1.796640778E1,1.877751541E1,-4.567071533E1
1.796740458E2,1.796640778E1,1.877751541E1,-4.567071533E1
1.796840258E2,1.801599884E1,1.866820145E1,-4.565032959E1
1.796940348E2,1.801599884E1,1.866820145E1,-4.565032959E1
1.797040448E2,1.786357880E1,1.887547684E1,-4.579028320E1
1.797140238E2,1.786357880E1,1.887547684E1,-4.579028320E1
1.797240338E2,1.792148590E1,1.902594376E1,-4.568133545E1
1.797340438E2,1.792148590E1,1.902594376E1,-4.568133545E1
1.797440228E2,1.781995392E1,1.882371140E1,-4.588098145E1
1.797540328E2,1.781995392E1,1.882371140E1,-4.588098145E1
1.797640428E2,1.807369232E1,1.888473129E1,-4.564361572E1
1.797740218E2,1.807369232E1,1.888473129E1,-4.564361572E1
1.797840318E2,1.794300079E1,1.896722794E1,-4.580249023E1
1.797940108E2,1.794300079E1,1.896722794E1,-4.580249023E1
1.798040208E2,1.785569000E1,1.886852646E1,-4.584191895E1
1.798140298E2,1.785569000E1,1.886852646E1,-4.584191895E1
1.798240098E2,1.779680634E1,1.882423782E1,-4.583831787E1
1.798340188E2,1.779680634E1,1.882423782E1,-4.583831787E1
1.798440288E2,1.774652863E1,1.892329788E1,-4.576562500E1
1.798540078E2,1.774652863E1,1.892329788E1,-4.576562500E1
1.798640178E2,1.788600922E1,1.891020584E1,-4.555816650E1
1.798739968E2,1.788600922E1,1.891020584E1,-4.555816650E1
1.798840068E2,1.808940887E1,1.905757523E1,-4.579028320E1
1.798940168E2,1.808940887E1,1.905757523E1,-4.579028320E1
1.799039958E2,1.815308380E1,1.905397415E1,-4.574938965E1
1.799140058E2,1.815308380E1,1.905397415E1,-4.574938965E1
1.799240158E2,1.786505890E1,1.889651871E1,-4.577355957E1
1.799339948E2,1.786505890E1,1.889651871E1,-4.577355957E1
1.799440048E2,1.757427216E1,1.886017227E1,-4.567388916E1
1.799540148E2,1.757427216E1,1.886017227E1,-4.567388916E1
1.799639938E2,1.784569550E1,1.884785843E1,-4.571154785E1
1.799740038E2,1.784569550E1,1.884785843E1,-4.571154785E1
1.799839828E2,1.771659088E1,1.893748093E1,-4.584936523E1
1.799939928E2,1.771659088E1,1.893748093E1,-4.584936523E1
1.800040018E2,1.771289825E1,1.904644394E1,-4.576892090E1
1.800139818E2,1.771289825E1,1.904644394E1,-4.576892090E1
1.800239908E2,1.800975800E1,1.887830734E1,-4.582623291E1
1.800340008E2,1.800975800E1,1.887830734E1,-4.582623291E1
1.800439798E2,1.778273773E1,1.868816757E1,-4.578942871E1
1.800539898E2,1.778273773E1,1.868816757E1,-4.578942871E1
1.800639688E2,1.822476959E1,1.875407791E1,-4.575866699E1
1.800739788E2,1.822476959E1,1.875407791E1,-4.575866699E1
1.800839888E2,1.819373322E1,1.874424362E1,-4.591296387E1
1.800939678E2,1.819373322E1,1.874424362E1,-4.591296387E1
1.801039778E2,1.776322174E1,1.884686661E1,-4.577508545E1
1.801139878E2,1.776322174E1,1.884686661E1,-4.577508545E1
