Time (s),X (hPa)
1654803021960946688,985.1387787000001
1654803023027039488,985.138855
1654803024093128704,985.1391602
1654803025159189760,985.138855
1654803026225213440,985.1374053999999
1654803027291155712,985.1360321000001
1654803028357140480,985.1352691999999
1654803029423179520,985.1344299000001
1654803030489270784,985.1326752
1654803031555305472,985.1316071
1654803032621334528,985.1303101
1654803033687414528,985.1292419
1654803034753481728,985.1290131000001
1654803035819575552,985.1292419
1654803036885636608,985.1291656
1654803037951672576,985.1295471000001
1654803039017719552,985.1300049
1654803040083755520,985.1300049
1654803041149786624,985.1281738
1654803042215807744,985.1264191
1654803043281765632,985.1261902000001
1654803044347740672,985.1235198999999
1654803045413765632,985.1229095000001
1654803046479823616,985.1228332999999
1654803047545954816,985.1224517999999
1654803048612043520,985.1216888
1654803049678136576,985.12146
1654803050744166656,985.1206970000001
1654803051810207488,985.1187133999999
1654803052876314624,985.1167297000001
1654803053942434560,985.1167297000001
1654803055008517376,985.1183319
1654803056074542592,985.1190947999999
1654803057140644608,985.1225281
1654803058206783488,985.1258087000001
1654803059272903680,985.1282501000001
1654803060339010560,985.1282501000001
1654803061405080576,985.1264191
1654803062471187712,985.1244354
1654803063537280512,985.1206207
1654803064603323648,985.1191711000001
1654803065669380608,985.118866
1654803066735471616,985.1191711000001
1654803067801514496,985.1196288999998
1654803068867499520,985.1198578
1654803069933512704,985.1198578
1654803070999497728,985.1202392999999
1654803072065443584,985.1202392999999
1654803073131460608,985.1212311
1654803074197441536,985.1225281
1654803075263442432,985.123291
1654803076329478400,985.1248932
1654803077395497472,985.1274109
1654803078461522688,985.1293182000001
1654803079527580416,985.1316832999998
1654803080593719552,985.1341248
1654803081659870720,985.1343536
1654803082725973504,985.1347351
1654803083792029696,985.1348114
1654803084858080512,985.1347351
1654803085924136704,985.1348114
1654803086990179584,985.1364899
1654803088056250624,985.1386261
1654803089122315520,985.1405333999999
1654803090188448768,985.1405333999999
1654803091254532608,985.1409912
1654803092320612608,985.1412200999999
1654803093386636544,985.1415252999999
1654803094452637696,985.1415252999999
1654803095518636800,985.1422118999999
1654803096584698624,985.1429749
1654803097650735616,985.1447296
1654803098716720640,985.145874
1654803099782682624,985.1475525000001
1654803100848627712,985.1482391000001
1654803101914585600,985.1496124
1654803102980604672,985.1504517000001
1654803104046682624,985.1508331
1654803105112757760,985.1508331
1654803107851666688,985.1177216
1654803108884444672,985.1107787999999
1654803109917225472,985.1039124
1654803110949987584,985.0946808
1654803111982706688,985.0923157
1654803112175051776,985.0902557000001
1654803113241195776,985.0884247000001
1654803114307319552,985.0884247000001
1654803115373441792,985.0885773
1654803116439584768,985.0899506000001
1654803117505685760,985.0885773
1654803118571773696,985.0896454
1654803119637864704,985.0896454
1654803120703954688,985.0901794
1654803121770119680,985.0902557000001
1654803122836258560,985.0923157
1654803123902393600,985.0923157
1654803124968579840,985.0923157
1654803126034731520,985.0923157
1654803127100909824,985.0938416000001
1654803128166996736,985.0993347000001
1654803129233125632,985.1047516000001
1654803130299278592,985.1122284
1654803131365396736,985.118866
1654803132431446784,985.1230621
1654803133497506560,985.1291656
1654803134563588608,985.1291656
1654803135629594880,985.1261139000001
1654803136695638784,985.1230621
1654803137761643520,985.118866
1654803138827608576,985.112381
1654803139893630720,985.1057434
1654803140959650816,985.1055908
1654803142025723648,985.100174
1654803143091879680,985.096817
1654803144157995776,985.0912476
1654803145224010752,985.0906372000002
1654803146290034688,985.0854492000001
